,route_id,stop_id,stop_name
1,1,1,Aavarampalayam
2,1,2,Ramakrishna Hospital
3,1,3,Womens Polytechnic
4,1,4,Gandhipuram
5,1,5,Alankar - Nanjappa rd
6,1,6,Park Gate - Nanjappa rd
7,1,7,VOC Park
8,1,8,Uppilipalayam - Avinashi rd
9,1,9,Sukravarpettai
10,1,10,Gandhi Park
11,1,11,Pal Company(Aavin)
12,1,12,Lawley Road
13,1,13,Agricultural University
14,1,14,PN pudur - Vadavalli
15,1,15,Mullai Nagar - Vadavalli
16,1,16,Vadavalli
17,1,17,Aalamaram - Vadavalli
18,1,18,Navavoor Pirivu
19,1,19,Kalveerampalayam
20,1,20,Bharathiyar University
21,1,21,IOB Colony - Maruthamalai
22,1,22,Law College
23,1,23,Maruthamalai

24,102,1,Gandhipuram
25,102,2,100 feet/GP
26,102,3,Kalyan - 100ft rd
27,102,4,Karpagam Complex - 100ft
28,102,5,Power House
29,102,6,TVS - MTP rd
30,102,7,Muthu theatre - MTP rd
31,102,8,Murugan mills - MTP rd
32,102,9,Saibaba Kovil
33,102,10,Eru Company - MTP rd
34,102,11,Housing unit - Kovundampalayam
35,102,12,Kavundampalayam
36,102,13,Cheran Nagar - MTP rd
37,102,14,ITI - MTP rd
38,102,15,GN mills - MTP rd
39,102,16,Vellakinar Pirivu - MTP rd
40,102,17,Thudiyalur
41,102,18,Vadamadurai
42,102,19,NGGO Colony
43,102,20,Kumaran mill - MTP rd
44,102,21,Narasimmanaicken palayam
45,102,22,Ramnarayana mill - MTP rd
46,102,23,LMW - MTP rd
47,102,24,Periyanaickenpalayam
48,102,25,Pricol - MTP rd
49,102,26,Jothipuram
50,102,27,Veerapandi Pirivu - MTP rd
51,102,28,Press Colony - MTP rd



52,102A,1,Gandhipuram
53,102A,2,100 feet/GP
54,102A,3,Kalyan - 100ft rd
55,102A,4,Karpagam Complex - 100ft
56,102A,5,Power House
57,102A,6,TVS - MTP rd
58,102A,7,Muthu theatre - MTP rd
59,102A,8,Murugan mills - MTP rd
60,102A,9,Saibaba Kovil
61,102A,10,Eru Company - MTP rd
62,102A,11,Housing unit - Kovundampalayam
63,102A,12,Kavundampalayam
64,102A,13,Cheran Nagar - MTP rd
65,102A,14,ITI - MTP rd
66,102A,15,GN mills - MTP rd
67,102A,16,Vellakinar Pirivu - MTP rd
68,102A,17,Thudiyalur
69,102A,18,Vadamadurai
70,102A,19,NGGO Colony
71,102A,20,Kumaran mill - MTP rd
72,102A,21,Narasimmanaicken palayam
73,102A,22,Ramnarayana mill - MTP rd
74,102A,23,LMW - MTP rd
75,102A,24,Periyanaickenpalayam
76,102A,25,Pricol - MTP rd
77,102A,26,Jothipuram
78,102A,27,Veerapandi Pirivu - MTP rd
79,102A,28,Press Colony - MTP rd
80,102A,29,Karamadai

81,102B,1,Ukkadam
82,102B,2,BigBazaar
83,102B,3,Town Hall
84,102B,4,Government Hospital
85,102B,5,Railway Station
86,102B,6,Collectorate/DSP
87,102B,7,Uppilipalayam - Avinashi rd
